year,total_attendance_millions,tv_viewers_millions,revenue_billion_usd,avg_ticket_usd,malaysia_hosted
2008,3.2,600,1.5,120,1
2009,3.25,520,1.55,125,1
2010,3.3,527,1.6,130,1
2011,3.4,515,1.65,140,1
2012,3.5,500,1.7,150,1
2013,3.6,450,1.72,155,1
2014,3.7,425,1.75,165,1
2015,3.5,400,1.7,180,1
2016,3.6,390,1.8,190,1
2017,4.0,352,1.8,200,1
2018,4.1,490,2.0,210,0
2019,4.16,471,2.1,220,0
2020,0.4,433,1.145,0,0
2021,2.69,445,2.136,280,0
2022,5.7,480,2.573,380,0
2023,6.0,490,3.2,430,0
2024,6.5,500,3.6,490,0
2025,6.7,510,3.8,482,0
