year,receipts_usd_b,source
1995,5.044,World Bank ST.INT.RCPT.CD
1996,5.732,World Bank ST.INT.RCPT.CD
1997,4.925,World Bank ST.INT.RCPT.CD
1998,3.237,World Bank ST.INT.RCPT.CD
1999,4.403,World Bank ST.INT.RCPT.CD
2000,5.873,World Bank ST.INT.RCPT.CD
2001,7.627,World Bank ST.INT.RCPT.CD
2002,8.084,World Bank ST.INT.RCPT.CD
2003,6.799,World Bank ST.INT.RCPT.CD
2004,9.183,World Bank ST.INT.RCPT.CD
2005,10.389,World Bank ST.INT.RCPT.CD
2006,12.280,World Bank ST.INT.RCPT.CD
2007,17.948,World Bank ST.INT.RCPT.CD
2008,18.553,World Bank ST.INT.RCPT.CD
2009,17.231,World Bank ST.INT.RCPT.CD
2010,19.619,World Bank ST.INT.RCPT.CD
2011,21.338,World Bank ST.INT.RCPT.CD
2012,21.711,World Bank ST.INT.RCPT.CD
2013,23.283,World Bank ST.INT.RCPT.CD
2014,24.469,World Bank ST.INT.RCPT.CD
2015,19.194,World Bank ST.INT.RCPT.CD
2016,19.682,World Bank ST.INT.RCPT.CD
2017,20.311,World Bank ST.INT.RCPT.CD
2018,21.775,World Bank ST.INT.RCPT.CD
2019,22.200,World Bank ST.INT.RCPT.CD
2020,3.386,World Bank ST.INT.RCPT.CD
2021,0.11,DOSM TSA 2021 (RM469M inbound)
2022,8.00,DOSM TSA 2022 (RM33.4B inbound)
2023,16.10,DOSM TSA 2023 (RM75.9B inbound)
2024,22.35,DOSM TSA 2024 (RM107B inbound)
